country,Quarter,Export_val,Import_val,GDP_val,exports_pctGDP,imports_pctGDP,openness
AUS,2019-Q4,485639.8,424238.1,2031924.7,23.900482138929657,20.878632953278238,44.779115092207896
AUS,1997-Q2,217003.4,121646.1,1050103.9,20.664945630618078,11.584196573310509,32.249142203928585
KOR,2019-Q4,742469200,661738296.1,2097380501.9,35.399833236144,31.550703150932158,66.95053638707616
KOR,1997-Q2,135325200,193986769.5,866015200,15.626192242353252,22.39992664101046,38.02611888336371
