t,pih,x,pi,r,s,e,ph,p
1,-0.701502638607773,-0.274917871921085,-0.134057289185197,-0.201085933777796,0.847559078753121,0.146056440145348,-0.701502638607773,-0.134057289185197
2,0.148331408581185,0.00434774010756829,-0.0856053763576177,-0.128408064536427,0.498141736394142,-0.0550294936324468,-0.553171230026588,-0.219662665542815
3,0.136277785083415,0.021796740827067,-0.0409308109777588,-0.0613962164666382,0.2334558867743,-0.183437558168874,-0.416893444943174,-0.260593476520573
4,0.0697138138194183,0.0125064517151966,-0.0180650547143545,-0.0270975820715317,0.102345856488243,-0.244833774635513,-0.347179631123755,-0.278658531234928
5,0.0314353416514556,0.00582495613486657,-0.00775276474412251,-0.0116291471161838,0.0438129327652555,-0.271931356707044,-0.3157442894723,-0.28641129597905
6,0.0135964624699798,0.00254821905888233,-0.00329221845486635,-0.00493832768229952,0.0185873231790919,-0.283560503823228,-0.30214782700232,-0.289703514433916
7,0.00579099308832876,0.00108999553325625,-0.00139234471829677,-0.00208851707744516,0.00785800240846363,-0.288498831505528,-0.296356833913991,-0.291095859152213
8,0.00245196822083058,0.000462281550291479,-0.000587911040941277,-0.000881866561411913,0.00331751711018787,-0.290587348582973,-0.293904865693161,-0.291683770193154
9,0.00103580242783457,0.000195411482941187,-0.000248087246594486,-0.000372130869891728,0.00139984812094137,-0.291469215144385,-0.292869063265326,-0.291931857439749
10,0.000437166828342079,8.24955998371651e-05,-0.000104662321593628,-0.000156993482390441,0.000590550422707559,-0.291841346014277,-0.292431896436984,-0.292036519761342
11,0.000184443592435682,3.48089202789488e-05,-4.41503605846614e-05,-6.62255408769905e-05,0.000249113347881429,-0.291998339496667,-0.292247452844549,-0.292080670121927
12,7.78071373148057e-05,1.46846459789119e-05,-1.86235133071836e-05,-2.79352699607738e-05,0.000105080669689628,-0.292064565037544,-0.292169645707234,-0.292099293635234
13,3.28209770353316e-05,6.19444299390767e-06,-7.8556562171275e-06,-1.17834843256896e-05,4.43244226935192e-05,-0.292092500307505,-0.292136824730199,-0.292107149291451
14,1.38444023872691e-05,2.61292899893529e-06,-3.31360523163801e-06,-4.97040784745539e-06,1.86965359805581e-05,-0.292104283791831,-0.292122980327811,-0.292110462896682
15,5.83973634830241e-06,1.10216768551705e-06,-1.39771317488224e-06,-2.09656976232174e-06,7.88639178479891e-06,-0.292109254199678,-0.292117140591463,-0.292111860609857
16,2.46326319748404e-06,4.64906545285342e-07,-5.89569427368546e-07,-8.84354141051198e-07,3.32655882499244e-06,-0.292111350769441,-0.292114677328266,-0.292112450179284
17,1.03902937702608e-06,1.96102364319828e-07,-2.48686205014772e-07,-3.73029307520537e-07,1.4031753069151e-06,-0.292112235123582,-0.292113638298889,-0.292112698865489
18,4.38272893495576e-07,8.27179337677093e-08,-1.04898281712001e-07,-1.57347422566382e-07,5.91873105899477e-07,-0.292112608152889,-0.292113200025995,-0.292112803763771
19,1.84867814453391e-07,3.48912395807673e-08,-4.42471222364715e-08,-6.63706833530873e-08,2.49657868880662e-07,-0.292112765500312,-0.292113015158181,-0.292112848010893
20,7.79790549614929e-08,1.47174670038265e-08,-1.86638690200104e-08,-2.79958035283956e-08,1.05308130567443e-07,-0.292112831870995,-0.292112937179126,-0.292112866674762
