t,pih,x,pi,r,s,e,ph,p
1,-0.373859980553309,-0.160654409410048,-0.215042073715328,-0.322563110572992,0.49247172477857,0.118611744225261,-0.373859980553309,-0.215042073715328
2,0.123123991061817,0.035878169886789,-0.0206062761289606,-0.0309094141934409,0.0467846231437616,-0.203951366347731,-0.250735989491493,-0.235648349844289
3,0.0125352914001685,0.00376875664485819,-0.00147525348679287,-0.00221288023018931,0.00333991755015206,-0.234860780541172,-0.238200698091324,-0.237123603331082
4,0.000914683353781441,0.00027755645517518,-9.39290739316499e-05,-0.000140893610897482,0.000212353966181277,-0.237073660771362,-0.237286014737543,-0.237217532405014
5,5.87781742627749e-05,1.79145153209942e-05,-5.61426367474921e-06,-8.42139551213153e-06,1.26821810210135e-05,-0.237214554382259,-0.23722723656328,-0.237223146668688
6,3.53228862106854e-06,1.07931883375301e-06,-3.2267197372526e-07,-4.84007960595596e-07,7.28496887808085e-07,-0.237222975777771,-0.237223704274659,-0.237223469340662
7,2.03727865350425e-07,6.23529970955339e-08,-1.80610392161271e-08,-2.70915588318972e-08,4.07610618561466e-08,-0.237223459785732,-0.237223500546794,-0.237223487401702
8,1.14312208057328e-08,3.50262158537536e-09,-9.92045250568511e-10,-1.48806788355939e-09,2.23828221198335e-09,-0.237223486877291,-0.237223489115573,-0.237223488393747
9,6.29004526681181e-10,1.92891292441379e-10,-5.37332356860281e-11,-8.0599861235662e-11,1.2120979467421e-10,-0.237223488365359,-0.237223488486568,-0.23722348844748
10,3.41154188298877e-11,1.04683281589433e-11,-2.87934534526002e-12,-4.31902572450992e-12,6.49450707935302e-12,-0.237223488445959,-0.237223488452453,-0.23722348845036
11,1.83032397829692e-12,5.61871368969574e-13,-1.52859056938762e-13,-2.2929629202804e-13,3.45149450989732e-13,-0.237223488450278,-0.237223488450623,-0.237223488450513
12,9.75762269196294e-14,2.99326230703744e-14,-7.90797139915193e-15,-1.18696637186239e-14,1.82686657102386e-14,-0.237223488450507,-0.237223488450525,-0.237223488450521
13,5.38083501052887e-15,1.61862810641231e-15,-2.5301222486199e-16,-3.8722495718897e-16,1.00960758237986e-15,-0.237223488450519,-0.23722348845052,-0.237223488450521
14,5.089941524743e-16,1.21944929657548e-16,1.49180528062178e-16,2.16064172197282e-16,1.04577036489643e-16,-0.23722348845052,-0.237223488450519,-0.237223488450521
15,2.53109281983924e-16,4.32753145062813e-17,1.70302001824006e-16,2.47746382840024e-16,5.85037382078809e-17,-0.237223488450519,-0.237223488450519,-0.237223488450521
16,2.3985317113939e-16,3.91647994174371e-17,1.71477999537374e-16,2.49510379410077e-16,5.71823544627641e-17,-0.237223488450519,-0.237223488450519,-0.237223488450521
17,2.3927564955736e-16,3.89559503726423e-17,1.71603898881315e-16,2.49699228425988e-16,5.80421788921863e-17,-0.237223488450519,-0.237223488450519,-0.237223488450521
18,2.39343277599817e-16,3.89497964616493e-17,1.71666158858225e-16,2.49792618391353e-16,5.88853577143751e-17,-0.237223488450519,-0.237223488450519,-0.237223488450521
19,2.39430770515099e-16,3.895352179469e-17,1.71717317242469e-16,2.49869355967718e-16,5.96158683272544e-17,-0.237223488450519,-0.237223488450518,-0.23722348845052
20,2.39507535321572e-16,3.89571932000869e-17,1.71761190067434e-16,2.49935165205167e-16,6.02443855869505e-17,-0.237223488450518,-0.237223488450518,-0.23722348845052
